;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train;MAPE_test;MAPE_train
Ridge_pca;11.006943452181327;11.096655501083788;0.41149413893509246;0.394518435096076;274.72726450511954;241.65977234083311;0.6414780892088929;0.6281070251924237;16.57489862729542;15.545410008772143;42.51539806004927;44.664986576379086
RidgeCV_pca;11.010324245716667;11.09581643748304;0.41106403305334893;0.39447141338891534;274.92804723330704;241.67853964227743;0.641142755596091;0.6280695927912092;16.58095435230756;15.546013625437148;42.56915675550187;44.70019877720278
Lasso_pca;11.016421117161972;11.125936120402969;0.4066500014942874;0.39091433405329734;276.9886126344161;243.09824097138417;0.6376911489853747;0.6252314243968368;16.642974873333674;15.591608030327858;42.77240978557984;45.06195251183611
LassoCV_pca;11.001932472665137;11.10542129219437;0.4092905093253545;0.3930656938465671;275.7559664683767;242.23959035673286;0.6397581647195716;0.6269495145915396;16.6059015554223;15.564048006760094;42.624561838077256;44.86503695733215
Ridge_skb;10.832873639635702;10.992639279520686;0.41357643832816593;0.3803815952322378;273.75520211120454;247.30206717049657;0.6430990890431785;0.6167508372367546;16.54554931427798;15.725840746061769;41.92167905652329;44.31350016597431
RidgeCV_skb;11.922896853907407;11.917652643099322;0.304100295898457;0.30488118157791344;324.8610332134876;277.4357885468656;0.5514528954484299;0.55216046723567;18.023901720035195;16.656403829964784;47.63643525575703;49.673641484342916
Lasso_skb;13.481423237056223;13.344604144734253;0.12091840094172812;0.1331259438273018;410.3743037478923;345.9867305722344;0.3477332324379252;0.3648642813804906;20.257697395012404;18.600718549890335;55.440772610325496;57.65823323855371
LassoCV_skb;10.77099214313656;10.857903511795103;0.41869982958029595;0.393760876221931;271.3634922629115;241.9621292013425;0.6470701890678444;0.6275036862217871;16.473114224787963;15.55513192490962;41.50869421780856;43.69310699801439
Ridge_pca_log;0.343309310836822;0.354321188234788;0.4111576709345016;0.3847095762864965;0.19083825134452878;0.20659048684376466;0.6412157756438168;0.6202496080502562;0.4368503763813519;0.4545222622091955;11.001658014025105;11.500473247884848
RidgeCV_pca_log;0.34355780562996513;0.35438332702411796;0.41028485107043966;0.38465189913791165;0.19112112403960269;0.20660985257699677;0.640534816438919;0.6202031111965753;0.43717402031639835;0.45454356510349675;11.01038692751677;11.504608384150734
Lasso_pca_log;0.39694677013250207;0.40780507446861364;0.2352203695568199;0.212202645296377;0.24785787320914077;0.26451157497330574;0.48499522632374426;0.4606545834965468;0.4978532647368507;0.5143068879310345;12.75560169859464;13.328179107655716
LassoCV_pca_log;0.3432697877236222;0.3547797660255242;0.4101822842561703;0.3837812687506207;0.19115436497782162;0.20690217624828985;0.6404547480159472;0.6195008222356292;0.4372120366341961;0.4548650088194187;11.001075821822864;11.52131052150394
Ridge_skb_log;0.34520130099685814;0.35993666752453024;0.40498061937870933;0.3669665086828564;0.1928401755595274;0.21254791577986756;0.6363808760315707;0.605777606620496;0.43913571428378195;0.461029191895554;11.073765638408727;11.727083906827078
RidgeCV_skb_log;0.37191425940388917;0.3854409382534695;0.31987577209765305;0.2994627116094557;0.2204218547873694;0.2352130536785358;0.5655756113002514;0.5472318627505672;0.4694910593263405;0.48498768404830217;11.96815454472478;12.601322842548043
Lasso_skb_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703;14.47068981959658;15.081709979984884
LassoCV_skb_log;0.34337364784453916;0.3566060787860547;0.41102760371488856;0.3744559162522365;0.19088040490503722;0.21003326530539496;0.6411143452730477;0.6119280319222486;0.4368986208550414;0.45829386348214934;11.00821307049376;11.613823132359384
