;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train
Ridge_pca;19.997699715866275;7.456933102767103;-7.35142152147715;0.7370964737812062;3898.624195811621;104.93004242617562;;0.8585432276718548;62.43896376311527;10.24353661711499
RidgeCV_pca;12.785930587592382;8.11093211485801;0.1901308757840946;0.6841846310693978;378.06442352228896;126.04821448133731;0.4360399933309955;0.8271545388072278;19.44387881885425;11.227119598603077
Lasso_pca;11.109932547989155;10.012824341211674;0.413790866017372;0.5094901008749193;273.65510262811165;195.77228676202728;0.6432657817864805;0.7137857527822472;16.542524070652327;13.991865020862203
LassoCV_pca;11.145261239810361;10.270661586996845;0.4115854631945677;0.48450211608916705;274.6846323655803;205.74549001808222;0.6415492679401698;0.6960618622573478;16.573612532142178;14.343831078832538
Ridge_skb_log;10.799942695262672;9.564947672682722;0.43507003657757015;0.5455966497264515;263.7215255718649;181.36144276406182;0.6595983903691474;0.7386451446577386;16.23950509011481;13.467050262179235
RidgeCV_skb_log;10.504974694691617;10.266534336757182;0.46475454243972447;0.4669503947468707;249.86415620099913;212.7507321751116;0.6817290828765665;0.6833376871992871;15.807091959022669;14.585977244432804
Lasso_skb_log;10.779236594065072;10.97869929485752;0.4310549910908609;0.3896606457935671;265.5958356448883;243.59861296781457;0.6565477827933477;0.6242280398969331;16.297111266874516;15.60764597778328
LassoCV_skb_log;10.38040263551399;10.30989306399465;0.46683601978787326;0.4554846723210094;248.89247755543465;217.3269307445866;0.6832539936128242;0.6748960455662852;15.776326491152325;14.742012438761087
Ridge_pca_log;0.6139936454638852;0.24065276254662524;-15.262840760073832;0.6991598425360438;5.270633477509052;0.10101037200860556;;0.8361577856696927;2.2957860260723453;0.31782128942002225
RidgeCV_pca_log;0.38649766403598623;0.262348385866215;0.1843991105528069;0.644983491510707;0.26432856446336006;0.11920067418524806;0.42941717542828545;0.8031086424081781;0.5141289375860496;0.34525450639383126
Lasso_pca_log;0.3969466935285573;0.40780485715769543;0.2352206096795777;0.2122033599509383;0.24785779538761715;0.26451133502022334;0.48499547387535247;0.4606553591905106;0.4978531865797558;0.514306654652867
LassoCV_pca_log;0.3414625207519603;0.32655373987591424;0.4201623810425651;0.4691044291914932;0.18791990963221603;0.17825399227665684;0.6481993374283601;0.6849119864562841;0.43349730060545477;0.42220136460776253
Ridge_skb_log;0.34452557874055323;0.3117079772457115;0.365541627313014;0.5121319885660851;0.20562198133180035;0.163807018788516;0.6046003864644928;0.7156339766710949;0.45345560017690856;0.4047307979243932
RidgeCV_skb_log;0.3356139476341119;0.33735131679583485;0.4248395717643272;0.4351247143462047;0.1864040761832816;0.1896630530423565;0.6517971860665918;0.6596398368399263;0.4317453835112561;0.4355032181768081
Lasso_skb_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703
LassoCV_skb_log;0.33266715340677006;0.3373828767428262;0.43072006943608976;0.43231336206524895;0.1844982622882518;0.1906069953077125;0.6562926705640478;0.6575054083923941;0.42953260910931057;0.43658561051380573
