;MEA_test;MEA_train;R2_test;R2_train
Ridge_pca;10.682035902267394;10.00179486174608;0.43593604876592285;0.4952797798923315
RidgeCV_pca;10.426932775523278;10.012952922292572;0.4503543999675518;0.4907195559197398
Lasso_pca;10.841608535199285;11.080098478930262;0.4056167834753177;0.3934583205780191
LassoCV_pca;10.345583673697902;10.291123164428543;0.4512876324439248;0.4665190339907175
Ridge_pca_log;0.32954163783294;0.32189252440313115;0.4299601687314982;0.48175084550468084
RidgeCV_pca_log;0.32515039675302015;0.32387576047206523;0.44838445746529587;0.47732686128812807
Lasso_pca_log;0.4045310705041197;0.4143281589054376;0.19727227846019202;0.18744538576412606
LassoCV_pca_log;0.323775266960226;0.3324054945388799;0.4515143223417394;0.4544839327161926
Ridge_rfe;10.639151882107308;10.265663676749917;0.4547168822392059;0.45810006216303467
RidgeCV_rfe;10.48574465493302;10.426805204415958;0.4538708253461181;0.4399883286631584
Lasso_rfe;10.659374169607993;10.690668194471966;0.4253865285833899;0.4144533296416707
LassoCV_rfe;10.5195783793387;10.369573822339822;0.45622849991666525;0.44609844252129294
Ridge_rfe_log;0.33994090010821376;0.3372458990699352;0.41759905863311453;0.43651432456959594
RidgeCV_rfe_log;0.33701832389631303;0.3432977157517146;0.42558697881810437;0.41897402679400275
Lasso_rfe_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0
LassoCV_rfe_log;0.3371655339192957;0.33975411052659776;0.4226558649333816;0.42668378483189284
Ridge_skb_log;10.45973460286227;10.030565549845402;0.4706566805006277;0.48856120194450814
RidgeCV_skb_log;10.275644434904875;10.164425953814243;0.4712133737071704;0.4712926887012464
Lasso_skb_log;10.455835026606506;10.493091201629852;0.4451423204590502;0.43520432417022437
LassoCV_skb_log;10.257953861338997;10.220244679518178;0.46720293217351083;0.46322949943088054
Ridge_skb_log;0.3275982694522337;0.32512441106404416;0.445983878930456;0.47663145882316316
RidgeCV_skb_log;0.32531880660570206;0.3314950163315245;0.45655869631362045;0.45866817883785704
Lasso_skb_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0
LassoCV_skb_log;0.3247752997202427;0.3330097199156495;0.45745808448520997;0.45219222392809943
Ridge_sfm;10.760103114928851;9.942950330890858;0.4438105704288502;0.5026650866545389
RidgeCV_sfm;10.457045569830983;10.03445732380195;0.45502061235454705;0.488872387506056
Lasso_sfm;10.487662975480758;10.542486923666704;0.442147950783525;0.4317962018528727
LassoCV_sfm;10.321795395307785;10.140882408505197;0.45955248357591116;0.47624731890416894
Ridge_sfm_log;0.33321097120975;0.320569424985821;0.43347204058642697;0.48537315823118565
RidgeCV_sfm_log;0.3259917868221444;0.3258750035886014;0.4533270773349679;0.4715315086716153
Lasso_sfm_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0
LassoCV_sfm_log;0.3249679409600532;0.33265987542906905;0.459764532410035;0.45115034799366593
