;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train;MAPE_test;MAPE_train
Ridge_pca;14.789499365816743;8.412767529987299;-2.4680468272273877;0.6609765700949799;1618.9592679600457;135.31101463354332;;0.8130046556416389;40.23629292019887;11.632326277814911;51.0056906940991;34.5981572669822
RidgeCV_pca;12.849470884281555;8.731318429458263;-0.34349564506783126;0.6335069671092666;627.1728250524901;146.2746812232501;;0.7959315090566943;25.043418797210776;12.09440702239056;47.17915771554536;35.990726136335496
Lasso_pca;11.146845124286864;10.151442244444846;0.4166150507692832;0.492740426345908;272.33671210274684;202.45741603447044;0.6454572416274242;0.7019547181591616;16.502627430283543;14.22875314405554;43.55560136507163;41.47477981750604
LassoCV_pca;11.071101544237743;10.344646483070667;0.4214425400170515;0.4740254204100163;270.083135710037;209.92694828115836;0.6491860596293265;0.6884950402217987;16.43420626954758;14.48885600318943;43.42821872281198;42.3217360334077
Ridge_skb;10.619224280621895;10.62747126827509;0.44708046766578713;0.42327441597022286;258.11479657103143;230.1826866716991;0.6686407612954711;0.6505954318700854;16.065951467965768;15.171772693779033;41.21774388084605;42.69925391828496
RidgeCV_skb;11.27843110785013;11.346617923181018;0.36374447672447185;0.3546478473604465;297.0178395835561;257.5729193526935;0.6031123251306276;0.5955231711364777;17.234205510656885;16.049078458051525;44.22733169873464;46.4700867190632
Lasso_skb;13.484726439354;13.344433779961358;0.12079938237510912;0.1331081427689934;410.4298641889955;345.9938353297491;0.3475620554305506;0.3648398864830892;20.259068690070517;18.60090952963723;55.4547037535677;57.65237283348458
LassoCV_skb;10.544426668668791;10.528979115525406;0.4584794210629505;0.4300579860711604;252.79351858179044;227.4752285073687;0.6771110847290498;0.6557880649044784;15.899481707961126;15.082281939659154;40.70160078075615;42.23666651841764
Ridge_pca_log;0.42114096706840687;0.2719377877248096;-1.4657068327823235;0.6166010126401225;0.7991123549884853;0.12873040177684333;;0.7852394619733031;0.8939308446342398;0.35879019186265854;12.966091378777902;8.830863268324144
RidgeCV_pca_log;0.3748836856208263;0.28164867699676893;-0.057387604388629665;0.5899065903389908;0.34268936089419766;0.1376933459194157;;0.7680537678697963;0.585396755110752;0.37107054035508624;11.763216982305398;9.172063435690472
Lasso_pca_log;0.3969467132852505;0.40780477312891933;0.2352204899897844;0.2122036346486853;0.24785783417795157;0.2645112427874515;0.48499535048264575;0.46065565735013536;0.4978532255373581;0.5143065649857597;12.755600618528485;13.328170458407659
LassoCV_pca_log;0.34266116512128314;0.3294944321127349;0.4126526504277527;0.4583472988467253;0.19035374257502383;0.1818658163995725;0.642380456137757;0.6770135145229564;0.43629547622571546;0.42645728555105317;10.98783220034259;10.722426543121044
Ridge_skb_log;0.339275080939321;0.3471366046254179;0.42011813913744633;0.40497763147249377;0.18793424801686037;0.19978526572073751;0.6481652097555425;0.6363785284502407;0.4335138383222159;0.44697345080075784;10.900096141385303;11.322758382286672
RidgeCV_skb_log;0.35401326480435397;0.3688660573631202;0.3776479647378197;0.3499252641769284;0.20169843142667837;0.21826969993775422;0.6145306865713215;0.5915448116389226;0.4491084851421518;0.46719342882552856;11.375758705319862;12.045585431179308
Lasso_skb_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703;14.47068981959658;15.081709979984884
LassoCV_skb_log;0.33515249272774245;0.34815992819434066;0.43185971028835357;0.4008071235485451;0.1841289154246322;0.2011855593531239;0.6571603383409208;0.6330932976651585;0.42910245329598407;0.4485371326357762;10.756730810085623;11.359956358922968
