;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_C;param_kernel;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
1;2.191575368245443;0.735182523727417;0.4006290094702748;0.46861669257848365;10;linear;{'C': 10, 'kernel': 'linear'};1;0.3476158612335506;0.48603427934524523;0.39047896583975567;0.47470836052421783;0.46385090318869593;0.44510743786598805;0.02656453723435828;0.0017065173946447711;0.04798906881199326;0.017254620678490252
2;2.5444807211558023;0.739194393157959;0.3994326609944595;0.4713004840028486;15;linear;{'C': 15, 'kernel': 'linear'};2;0.3468328009683666;0.48945827160181277;0.3872876976520584;0.47791589290764697;0.4642376561318833;0.446527287499086;0.14682557427731188;0.0004715389511856095;0.048690295479502245;0.018140012407941535
0;1.6750812530517578;0.7653921445210775;0.3779898942325054;0.4196239426252418;1;linear;{'C': 1, 'kernel': 'linear'};3;0.33535757500520935;0.43816052455567245;0.3711279485261303;0.4225633803950024;0.4275301575536613;0.39814792292505063;0.031117161847513813;0.017629347497173438;0.037938091041053085;0.016466780561976507
