;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_n_neighbors;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
4;0.03769771258036295;1.5658152898152669;0.3029573598455591;0.3863397750463154;15;{'n_neighbors': 15};1;0.31007685097313353;0.3796500956910685;0.30186824534777956;0.37037732641189414;0.29692137877651736;0.4089919030359837;0.001696827739092069;0.08983667308912127;0.00542524630619168;0.016458741129896783
3;0.03669246037801107;1.4527006149291992;0.2965042904501551;0.4179633156853581;10;{'n_neighbors': 10};2;0.30310456793940965;0.4105868477862438;0.2927688837206359;0.40327026507426217;0.29363675717112636;0.4400328341955683;0.0004718744127177272;0.01439365166679864;0.004681609021483458;0.0158887975441756
2;0.035021464029947914;1.417342980702718;0.2750881786199372;0.4523479928039958;7;{'n_neighbors': 7};3;0.2710005390472827;0.44038360655989583;0.26605951455113663;0.4335271427432913;0.28821667213466506;0.4831332291088004;6.290918168119844e-06;0.011102522307479778;0.009495728894103255;0.021947678005871062
1;0.035021066665649414;1.401327133178711;0.24354789426162898;0.48146524008356256;5;{'n_neighbors': 5};4;0.21903937276229257;0.4729032478655811;0.24534090304847667;0.4588151970114479;0.26628451804541187;0.5126772753736586;6.967372511006573e-06;0.017638777684669347;0.019327902393628797;0.02280733294987692
0;0.03702624638875326;1.3743134339650471;0.15305166021660802;0.5780874686293042;3;{'n_neighbors': 3};5;0.10338732176263898;0.5844281732992489;0.16140236987131418;0.5617611013612556;0.19440368458166946;0.5880731312274081;0.00216187694299217;0.014624567496612595;0.03762090373663338;0.011639992288168118
