;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_C;param_kernel;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
1;2.132518212000529;0.7458571592966715;0.39895783852228955;0.4683764436731477;10;linear;{'C': 10, 'kernel': 'linear'};1;0.43215796862229544;0.46545493009449734;0.4106118178223197;0.4599868969260462;0.35406204314697465;0.4796875039988996;0.07382580493545338;0.004035979961501906;0.03292836440137715;0.008303810810000388
2;13.575332005818685;0.746527353922526;0.3825286473259131;0.4826640848936417;100;linear;{'C': 100, 'kernel': 'linear'};2;0.4054198085889239;0.47981240672282144;0.40888917731438257;0.4738383803322831;0.3332311831271729;0.4943414676258206;3.1987445040893783;0.00638490685084368;0.03487116933423545;0.008609808299610175
0;1.6541789372762044;0.7665488719940186;0.3744178805580856;0.40976570678495444;1;linear;{'C': 1, 'kernel': 'linear'};3;0.4059350589494529;0.40218887600729225;0.37363405608847866;0.39805552510135334;0.34365596403974386;0.4290527192462178;0.012036309556223581;0.004252448712522541;0.025429406890749285;0.013741974256236543
