features;RFE;SelectKBest;SelectFromModel
Wilgotność względna_6;;;X
Wilgotność względna_7;;;X
Wilgotność względna_8;;;
Wilgotność względna_9;;;
Wilgotność względna_10;;;X
Wilgotność względna_11;;;X
Wilgotność względna_12;;;X
Wilgotność względna_13;;;X
Wilgotność względna_14;;;X
Wilgotność względna_15;;;X
Wilgotność względna_16;;;X
Wilgotność względna_17;;;X
Wilgotność względna_18;;;X
Wilgotność względna_19;;;X
Wilgotność względna_20;;;X
Wilgotność względna_21;;;
Wilgotność względna_22;;;
Wilgotność względna_23;;;
Ciśnienie pary wodnej_0;;X;X
Ciśnienie pary wodnej_1;;X;
Ciśnienie pary wodnej_2;;X;
Ciśnienie pary wodnej_3;;X;X
Ciśnienie pary wodnej_4;;X;
Ciśnienie pary wodnej_5;;X;X
Ciśnienie pary wodnej_6;;X;X
Ciśnienie pary wodnej_7;;X;X
Ciśnienie pary wodnej_8;;X;X
Ciśnienie pary wodnej_9;;X;X
Ciśnienie pary wodnej_10;;X;
Ciśnienie pary wodnej_11;;X;X
Ciśnienie pary wodnej_12;;X;X
Ciśnienie pary wodnej_13;;X;
Ciśnienie pary wodnej_14;;X;X
Ciśnienie pary wodnej_15;;X;X
Ciśnienie pary wodnej_16;;X;X
Ciśnienie pary wodnej_17;X;X;X
Ciśnienie pary wodnej_18;;X;X
Ciśnienie pary wodnej_19;;X;
Ciśnienie pary wodnej_20;;X;X
Ciśnienie pary wodnej_21;X;X;X
Ciśnienie pary wodnej_22;X;X;X
Ciśnienie pary wodnej_23;;X;X
Ciśnienie na pozimie stacji_0;;;
Ciśnienie na pozimie stacji_1;;;
Ciśnienie na pozimie stacji_2;;;
Ciśnienie na pozimie stacji_3;;;
Ciśnienie na pozimie stacji_4;;;
Ciśnienie na pozimie stacji_5;;;
Ciśnienie na pozimie stacji_6;;;
Ciśnienie na pozimie stacji_7;;;
Ciśnienie na pozimie stacji_8;;;
Ciśnienie na pozimie stacji_9;;;X
Ciśnienie na pozimie stacji_10;;;
Ciśnienie na pozimie stacji_11;;;
Ciśnienie na pozimie stacji_12;;;
Ciśnienie na pozimie stacji_13;;;
Ciśnienie na pozimie stacji_14;;;
Ciśnienie na pozimie stacji_15;;;
Ciśnienie na pozimie stacji_16;;X;
Ciśnienie na pozimie stacji_17;;X;
Ciśnienie na pozimie stacji_18;;X;
Ciśnienie na pozimie stacji_19;;;
Ciśnienie na pozimie stacji_20;;;
Ciśnienie na pozimie stacji_21;;;
Ciśnienie na pozimie stacji_22;;;
Ciśnienie na pozimie stacji_23;;;
Ciśnienie na pozimie morza_0;;X;
Ciśnienie na pozimie morza_1;;X;
Ciśnienie na pozimie morza_2;;X;
Ciśnienie na pozimie morza_3;;X;
Ciśnienie na pozimie morza_4;;X;
Ciśnienie na pozimie morza_5;;X;
Ciśnienie na pozimie morza_6;;X;
Ciśnienie na pozimie morza_7;;X;
Ciśnienie na pozimie morza_8;;X;
Ciśnienie na pozimie morza_9;X;X;X
Ciśnienie na pozimie morza_10;;X;
Ciśnienie na pozimie morza_11;;X;
Ciśnienie na pozimie morza_12;;X;
Ciśnienie na pozimie morza_13;;X;
Ciśnienie na pozimie morza_14;;X;
Ciśnienie na pozimie morza_15;;X;
Ciśnienie na pozimie morza_16;;X;
Ciśnienie na pozimie morza_17;;X;
Ciśnienie na pozimie morza_18;;X;
Ciśnienie na pozimie morza_19;;X;
Ciśnienie na pozimie morza_20;;X;
Ciśnienie na pozimie morza_21;;X;
Ciśnienie na pozimie morza_22;;X;
Ciśnienie na pozimie morza_23;;X;
Charakterystyka tendencji_0;;;
Charakterystyka tendencji_1;;;
Charakterystyka tendencji_2;;;
Charakterystyka tendencji_3;;;
Charakterystyka tendencji_4;;;
Charakterystyka tendencji_5;;;
Charakterystyka tendencji_6;;;
Charakterystyka tendencji_7;;;X
Charakterystyka tendencji_8;;;
Charakterystyka tendencji_9;;;
Charakterystyka tendencji_10;;;
Charakterystyka tendencji_11;;;
Charakterystyka tendencji_12;;;
