;Miesiąc;Maksymalna temperatura dobowa;Minimalna temperatura dobowa;Średnia temperatura dobowa;Temperatura minimalna przy gruncie;Suma dobowa opadu;Wysokość pokrywy śnieżnej;Równoważnik wodny śniegu;Usłonecznienie;Czas trwania opadu deszczu;Czas trwania opadu śniegu;Czas trwania opadu deszczu ze śniegiem;Czas trwania gradu;Czas trwania mgły;Czas trwania zamglenia;Czas trwania sadzi;Czas trwania gołoledzi;Czas trwania zamieci śnieżnej niskiej;Czas trwania zamieci śnieżnej wysokiej;Czas trwania zmętnienia;Czas trwania wiatru >=10m/s;Czas trwania wiatru >15m/s;Czas trwania burzy;Czas trwania rosy;Czas trwania szronu;Wystąpienie pokrywy śnieżnej;Izoterma dolna;Izoterma górna;Aktynometria;Miesiąc;Średnie dobowe zachmurzenie ogólne;Średnia dobowa prędkość wiatru;Średnia dobowe ciśnienie pary wodnej;Średnia dobowa wilgotność względna;Średnia dobowe ciśnienie na poziomie stacji;Średnie dobowe ciśnienie na pozimie morza;Suma opadu dzień;Suma opadu noc;PM10;Dzień tygodnia;PM10_prev;PM10_next
2001-02-27;2.0;-0.4;-7.8;-4.9;-10.6;0.0;7.0;0.0;5.1;0.0;3.4;0.0;0.0;0.0;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;2.0;4.6;2.9;3.5;82.6;993.9;1007.5;0.0;0.0;59.5;1;71.9;63.2
2001-02-28;2.0;2.2;-11.2;-4.3;-14.8;0.0;6.0;1.3;8.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;0.0;0.0;0.0;2.0;1.4;4.8;3.3;75.4;996.4;1010.0;0.0;0.0;63.2;2;59.5;66.3
2001-03-06;3.0;5.3;-6.2;-0.9;-8.3;0.0;0.0;0.0;9.6;0.0;0.0;0.0;0.0;0.0;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.6;0.0;0.0;0.0;0.0;3.0;1.0;1.9;4.0;73.1;1015.9;1029.6;0.0;0.0;88.7;1;63.2;45.3
2001-03-07;3.0;7.3;-7.3;1.0;-7.9;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;3.0;2.1;2.1;4.9;75.1;1010.7;1024.2;0.0;0.0;45.3;2;88.7;46.5
2001-03-13;3.0;13.4;6.8;8.7;6.9;1.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;7.4;3.1;10.3;91.3;988.4;1001.2;0.2;0.8;40.9;1;42.8;31
2001-03-14;3.0;10.3;2.2;5.8;0.4;0.0;0.0;0.0;4.2;0.3;0.0;0.0;0.0;0.6;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;4.6;3.8;7.6;83.5;989.5;1002.5;0.0;0.0;31;2;40.9;34.1
2001-03-20;3.0;6.0;-1.3;-0.6;-1.2;2.3;1.0;0.0;0.0;0.0;20.8;0.0;0.0;0.0;9.1;0.0;0.0;7.7;0.0;0.0;2.8;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;6.9;6.6;5.4;92.5;991.9;1005.2;2.1;0.2;42.2;1;28.5;38.4
2001-03-21;3.0;0.4;-3.9;-1.6;-3.5;0.0;6.0;1.4;1.9;0.0;5.9;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;7.1;3.5;4.3;80.3;997.8;1011.2;0.0;0.0;38.4;2;42.2;42.8
2001-03-27;3.0;1.0;-4.5;-2.1;-6.8;0.0;10.0;0.0;9.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;3.5;3.9;3.3;62.3;1007.6;1021.2;0.0;0.0;33.5;1;29.1;39.7
2001-03-28;3.0;4.1;-4.4;-0.6;-8.8;0.0;6.0;0.0;10.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;1.1;4.8;2.9;51.3;1009.2;1022.8;0.0;0.0;39.7;2;33.5;34.1
