;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train;MAPE_test;MAPE_train;;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train;MAPE_test;MAPE_train
MLP_skb;11,07;10,79;0,38;0,41;261,72;242,53;0,61;0,64;16,17;15,57;43,59;41,81;MLP_skb_log;0,37;0,37;0,32;0,34;0,22;0,22;0,56;0,58;0,47;0,47;11,84;11,82
RidgeCV_rfe;11,32;11,02;0,37;0,40;263,40;246,58;0,61;0,63;16,19;15,70;45,16;44,86;RidgeCV_rfe_log;0,36;0,36;0,38;0,38;0,21;0,21;0,61;0,61;0,46;0,46;11,83;11,73
RidgeCV_skb;11,14;11,09;0,37;0,40;246,64;251,30;0,61;0,63;15,68;15,85;46,44;44,49;RidgeCV_skb_log;0,36;0,36;0,36;0,37;0,21;0,21;0,60;0,61;0,46;0,46;11,74;11,80
SVR_rbf_sfm;10,43;10,76;0,36;0,35;245,19;270,93;0,60;0,59;15,63;16,46;37,39;37,98;SVR_rbf_sfm_log;0,33;0,32;0,43;0,47;0,19;0,18;0,66;0,69;0,44;0,42;10,77;10,44
DT_skb;11,15;10,38;0,36;0,46;282,97;217,40;0,60;0,68;16,80;14,74;42,98;41,40;DT_skb_log;0,36;0,34;0,37;0,44;0,21;0,19;0,61;0,66;0,46;0,43;11,44;10,86
MLP;11,24;10,71;0,36;0,42;274,37;237,64;0,60;0,65;16,55;15,41;42,33;41,57;MLP_log;0,38;0,36;0,33;0,36;0,23;0,21;0,57;0,60;0,47;0,46;12,18;11,70
DT_sfm;11,24;10,24;0,36;0,48;275,84;211,37;0,60;0,69;16,57;14,54;44,08;40,87;DT_sfm_log;0,35;0,33;0,38;0,44;0,21;0,19;0,61;0,67;0,46;0,43;11,44;10,82
RF_pca;11,59;7,26;0,36;0,78;274,99;89,56;0,60;0,88;16,55;9,46;46,60;31,32;RF_pca_log;0,35;0,21;0,36;0,79;0,21;0,07;0,60;0,89;0,46;0,26;11,46;6,85
SVR_rbf;10,95;10,43;0,35;0,37;283,94;257,31;0,59;0,61;16,83;16,04;37,53;36,92;SVR_rbf_log;0,34;0,31;0,42;0,49;0,19;0,17;0,65;0,70;0,44;0,41;10,75;10,10
DT;11,01;10,31;0,35;0,48;265,08;214,40;0,58;0,69;16,25;14,64;43,71;41,07;DT_log;0,35;0,34;0,38;0,44;0,21;0,19;0,61;0,66;0,46;0,43;11,54;10,84
KNN_sfm;11,35;11,03;0,34;0,40;263,36;248,87;0,58;0,63;16,22;15,78;48,03;45,15;KNN_sfm_log;0,37;0,35;0,32;0,39;0,22;0,20;0,57;0,63;0,47;0,45;12,06;11,40
KNN_pca;11,49;10,76;0,34;0,41;283,66;239,91;0,58;0,64;16,79;15,49;47,27;43,43;KNN_pca_log;0,36;0,35;0,34;0,40;0,21;0,20;0,58;0,63;0,46;0,45;11,64;11,30
KNN;11,39;11,18;0,33;0,39;272,52;253,63;0,58;0,62;16,49;15,92;47,38;45,84;KNN_log;0,37;0,36;0,34;0,38;0,22;0,21;0,58;0,62;0,47;0,45;12,04;11,59
DT_rfe;11,15;10,34;0,33;0,48;268,98;216,68;0,57;0,69;16,38;14,72;42,78;41,30;DT_rfe_log;0,35;0,33;0,36;0,45;0,21;0,19;0,60;0,67;0,46;0,43;11,34;10,83
SVR_rbf_skb;10,93;11,15;0,33;0,33;268,05;278,64;0,57;0,57;16,35;16,69;39,88;40,88;SVR_rbf_skb_log;0,34;0,34;0,41;0,43;0,19;0,19;0,64;0,66;0,44;0,44;10,98;11,09
ET_pca;11,47;8,04;0,32;0,73;258,10;114,53;0,57;0,85;16,06;10,70;47,91;34,49;ET_pca_log;0,37;0,25;0,34;0,70;0,22;0,10;0,58;0,84;0,47;0,32;12,08;8,10
KNN_skb;11,59;11,02;0,30;0,40;272,46;250,16;0,55;0,63;16,49;15,82;47,15;44,41;KNN_skb_log;0,38;0,36;0,29;0,39;0,24;0,20;0,54;0,62;0,49;0,45;12,44;11,54
SVR_rbf_rfe;11,47;11,11;0,30;0,31;297,07;282,55;0,55;0,56;17,22;16,81;41,20;40,39;SVR_rbf_rfe_log;0,34;0,33;0,42;0,45;0,19;0,18;0,65;0,67;0,44;0,43;11,12;10,81
DT_pca;12,17;11,70;0,22;0,38;291,36;261,40;0,47;0,62;17,06;16,17;51,57;48,13;DT_pca_log;0,40;0,37;0,25;0,32;0,26;0,22;0,50;0,57;0,51;0,47;12,94;12,11
