;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_n_neighbors;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
2;0.03653057416280111;1.5044582684834797;0.32575769201385374;0.3834044837871709;20;{'n_neighbors': 20};1;0.31833432013655083;0.37909993992660584;0.33305565411366356;0.39356265110782496;0.3258832183431847;0.37755086032708196;0.0004031679243121315;0.024946466007130658;0.006011544394023817;0.00721069503756829
1;0.03536272048950195;1.5542021592458088;0.32227378564935905;0.40729753559826243;15;{'n_neighbors': 15};2;0.3204901393580565;0.40259580304400255;0.32996196283169077;0.41734282252610244;0.31636376727608917;0.4019539812246823;0.00023927305009933982;0.11532153265623492;0.005692551767415728;0.0071079216797839476
3;0.03570477167765299;1.5392540295918782;0.3126776451318926;0.3350149840594998;50;{'n_neighbors': 50};3;0.31049221688370865;0.32923456581981103;0.32434876254477685;0.33769936734469974;0.3031831402709427;0.33811101901398877;0.0004704718653628089;0.00601848371274644;0.008777329389086859;0.0040908263666813065
0;0.03653279940287272;1.4462254842122395;0.31183954036499506;0.4444436089372282;10;{'n_neighbors': 10};4;0.32039644986708815;0.4373622801797569;0.31661944343829274;0.45094636122856474;0.29849033298237804;0.4450221854033629;0.001482574149238;0.011907011970498616;0.009560141429293127;0.005560748003072886
