;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_C;param_kernel;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
2;2.5470621585845947;0.7725872993469238;0.4229471629907076;0.47988745115910847;15;linear;{'C': 15, 'kernel': 'linear'};1;0.41910003315080235;0.4818753335792285;0.39990611805728304;0.4930887883937406;0.44986032677404986;0.4646982315043564;0.123249268269524;0.009850215764594954;0.02057287044000844;0.01167532119499664
1;2.166713317235311;0.7848877906799316;0.42207486341725325;0.47423729630023764;10;linear;{'C': 10, 'kernel': 'linear'};2;0.4160346114288219;0.4758111836967981;0.4012933715448428;0.4856374879960693;0.44892153454934125;0.46126321720784547;0.0724225053188597;0.005394886648360431;0.019906427102856464;0.010012795489346105
3;5.908603111902873;0.7773881753285726;0.41677959985183;0.4882794105417269;50;linear;{'C': 50, 'kernel': 'linear'};3;0.4186702708646908;0.4910714810979039;0.3862608961907568;0.500104822811155;0.44543423847834007;0.4736619277161217;0.5164280628698839;0.004285956472381377;0.024192528282922215;0.010974316037753387
0;1.6705732345581055;0.7513725757598877;0.3955140017157686;0.4210190641409799;1;linear;{'C': 1, 'kernel': 'linear'};4;0.39477935900545835;0.4233986838802417;0.388720175770304;0.426938900822439;0.40304946708962514;0.4127196077202589;0.03635620483527999;0.0010327504141995263;0.0058724868748184405;0.006043951061959398
