;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_max_depth;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
1;0.1237634817759196;0.0016640027364095051;0.27080311831185705;0.503463839131795;4;{'max_depth': 4};1;0.2435850480662487;0.49180612715581074;0.22026052479613278;0.5216211428317915;0.3486360503480609;0.4969642474077828;0.0011760207796127809;0.00023855724540793199;0.05582893991178869;0.013010695840317457
0;0.09357468287150066;0.0014927387237548828;0.25891672562505313;0.44400858239111224;3;{'max_depth': 3};2;0.31020003731029666;0.42993156800729415;0.21928637996212327;0.45792515401236444;0.24725292970866664;0.4441690251536781;0.0007137428372192632;5.907779547388013e-06;0.038025442051354996;0.011428896731993621
2;0.15378499031066895;0.0018304983774820964;0.23984225341435061;0.5613559149090063;5;{'max_depth': 5};3;0.2885296244669904;0.5550434259551845;0.1379786344778492;0.576004389677891;0.29306792160293715;0.5530199290939433;0.0006184692830273782;0.0002329930917620587;0.07206899677468319;0.010390925357504764
