;MEA_test;MEA_train;R2_test;R2_train
Ridge_pca;10.679728464907635;10.004514353196354;0.43551804058785537;0.49521728551526734
RidgeCV_pca;10.427050403007556;10.014473277774432;0.4502180778381536;0.49068738916082244
Lasso_pca;10.84160853450558;11.080098479371221;0.40561678332497364;0.39345832037189543
LassoCV_pca;10.345581065331478;10.291123359899794;0.4512876961676362;0.46651900275510005
Ridge_pca_log;0.3294624123369568;0.32207998936367527;0.4307892534467965;0.48143888423773396
RidgeCV_pca_log;0.32514048495190095;0.32396113515148306;0.44855983087493145;0.4771585232391069
Lasso_pca_log;0.40453107050411974;0.4143281589054378;0.19727227846019157;0.18744538576412595
LassoCV_pca_log;0.32377441284472336;0.3324051341025175;0.4515157977381561;0.4544852841651781
Ridge_rfe;10.435727119774034;10.156255439485824;0.4472461547451183;0.47291359872092686
RidgeCV_rfe;10.396621878828919;10.164230588916684;0.4489220625261304;0.471517494057756
Lasso_rfe;10.509992123353321;10.513139732358033;0.4415738967929719;0.43312074827947844
LassoCV_rfe;10.415306361379626;10.148693759042596;0.4483461296846071;0.47279198211649665
Ridge_rfe_log;0.3326768194075627;0.3330431296519735;0.42889447404032555;0.4490767320719259
RidgeCV_rfe_log;0.332207974515358;0.33389000026057736;0.4318235017673411;0.44772672825124127
Lasso_rfe_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0
LassoCV_rfe_log;0.33190647456151057;0.333317942234774;0.43187062534485343;0.448521762718885
Ridge_skb_log;10.45973460286227;10.030565549845402;0.4706566805006277;0.48856120194450814
RidgeCV_skb_log;10.275644434904875;10.164425953814243;0.4712133737071704;0.4712926887012464
Lasso_skb_log;10.455835026606506;10.493091201629852;0.4451423204590502;0.43520432417022437
LassoCV_skb_log;10.257953861338997;10.220244679518178;0.46720293217351083;0.46322949943088054
Ridge_skb_log;0.3275982694522337;0.32512441106404416;0.445983878930456;0.47663145882316316
RidgeCV_skb_log;0.32531880660570206;0.3314950163315245;0.45655869631362045;0.45866817883785704
Lasso_skb_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0
LassoCV_skb_log;0.3247752997202427;0.3330097199156495;0.45745808448520997;0.45219222392809943
Ridge_sfm;10.50956237153009;10.009889241931253;0.4610958479518491;0.497126578308713
RidgeCV_sfm;10.287896597409425;10.074816209545892;0.46777145932741504;0.4848049912551592
Lasso_sfm;10.45412272780232;10.489959327952878;0.44542888115832613;0.43553310619684127
LassoCV_sfm;10.227568916901587;10.127645875908712;0.4683636828583676;0.47686854726149464
Ridge_sfm_log;0.3258265769278871;0.32161109111970976;0.44999775489750793;0.4826696802829623
RidgeCV_sfm_log;0.32123234533434675;0.32654116910679076;0.46352352091772075;0.47048270129966807
Lasso_sfm_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0
LassoCV_sfm_log;0.32396163335366646;0.33207247558823993;0.4618866118898801;0.4542739533237634
