;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train;MAPE_test;MAPE_train
RidgeCV;10.58670769847875;10.71569523678229;0.43452776302688345;0.42591694719451645;263.9746705939451;229.12799973970692;0.6591871987735225;0.6526231279954124;16.24729733198556;15.136974590046286;40.501182349677734;42.93185760659692
DT;13.076405056734993;6.030869572606506;0.09052065751634963;0.7990342901080606;424.56462783960376;80.20942422665865;0.3008665111247007;0.8938871797425336;20.60496609654099;8.955971428419067;46.57363901061629;25.766187720883227
RF;10.790577772453185;6.49668563256413;0.39964950776022035;0.8134173427112082;280.25659452038303;74.46886098061758;0.6321783828637455;0.9018965255012397;16.740866002700788;8.629534227327543;41.05204443362355;27.497230388176064
SVR_RBF;10.11739844918932;9.53595202742479;0.45471246645535723;0.46098310959450295;254.55201446658316;215.1323947310027;0.6743237104353941;0.6789573694971599;15.954686285432977;14.66739222667079;35.29985757505042;34.40951455056119
MLP;10.712635219061447;10.770189549052276;0.39660058377466556;0.4108530911325623;281.67989818080844;235.14028522867065;0.6297623232416064;0.6409782298429193;16.78332202458168;15.334284633743781;41.402892160331696;43.861181891935495
