;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_max_depth;param_n_estimators;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
2;0.33809789021809894;0.0034929911295572915;0.37835654016915005;0.7697722125708278;10;17;{'max_depth': 10, 'n_estimators': 17};1;0.3884102504382738;0.7720602258828066;0.4016117717036015;0.7712244957741294;0.3450238402045166;0.7660319160555478;0.0018132423346909547;0.00040841338435398543;0.024170065749261168;0.002666705173092846
6;0.9900736808776855;0.00834361712137858;0.37693619990280475;0.7841921665592948;10;50;{'max_depth': 10, 'n_estimators': 50};2;0.4030175758862695;0.7784320291623232;0.3856815786848786;0.7852915533745549;0.34208460437067156;0.788852917141006;0.002611696773855483;0.0002390563963489003;0.02563172556183914;0.004324751637819976
5;0.5962734222412109;0.005338112513224284;0.37637497053417773;0.7785563529293466;10;30;{'max_depth': 10, 'n_estimators': 30};3;0.3954930387008426;0.7744794614070296;0.39646498642882533;0.7759610049666351;0.33713892064971174;0.7852285924143749;0.003127273190338242;0.00023461747690074966;0.027737026796908953;0.004756597357981223
20;1.5229891935984294;0.014506101608276367;0.3747413525346874;0.9075426971975341;20;50;{'max_depth': 20, 'n_estimators': 50};4;0.3980005561683515;0.9069476282025793;0.3867140352085475;0.9069725334511533;0.33948433649370535;0.9087079299388697;0.009331739867202241;3.975232124455706e-06;0.02534406363662622;0.0008240067046499177
19;0.9171899159749349;0.009169975916544596;0.37110327406042104;0.9018817904488747;20;30;{'max_depth': 20, 'n_estimators': 30};5;0.39476983479028405;0.9016508077427222;0.37196114052351914;0.9002218674027571;0.3465613544086916;0.9037726962011445;0.005745815980805032;0.00024737880494368167;0.019689209098441254;0.0014587919766643619
13;1.3573395411173503;0.012175639470418295;0.371075298185019;0.886908651780197;15;50;{'max_depth': 15, 'n_estimators': 50};6;0.3854757385433078;0.8865091807879805;0.3775559964232149;0.889461557434388;0.35017926576642544;0.884755217118222;0.004084230378401058;0.00023546071556588053;0.015120273740300979;0.0019420079982858213
11;0.6839954058329264;0.0065034230550130205;0.37019223123567335;0.8803677678215717;15;25;{'max_depth': 15, 'n_estimators': 25};7;0.39657918610946796;0.8827799086251022;0.3764048097196252;0.8778263070053698;0.33756944571433356;0.8804970878342429;0.00040726659231847475;1.0721474936192864e-06;0.024486611780815095;0.0020243657444595628
12;0.8162656625111898;0.007835785547892252;0.3642715125063819;0.8835617074847235;15;30;{'max_depth': 15, 'n_estimators': 30};8;0.405051171956892;0.8839698811084745;0.36292329690909264;0.8807457652407388;0.32481194351489207;0.8859694761049571;0.0011920370936578796;0.0002422067057353656;0.03276945465818564;0.002152013487966214
9;0.4650016625722249;0.004837433497111003;0.36316124531116706;0.8759102494339119;15;17;{'max_depth': 15, 'n_estimators': 17};9;0.37011223195503085;0.8761789527294723;0.3761852956342011;0.8754712310275609;0.34317196081433565;0.8760805645447026;0.0024669682514830075;0.0004712586054592454;0.014345446185157965;0.0003130206910752589
3;0.3997840881347656;0.004169940948486328;0.36196892900823296;0.7747187470132988;10;20;{'max_depth': 10, 'n_estimators': 20};10;0.3919721193471686;0.7680196326618248;0.3888124254800479;0.7741100392639743;0.3050816953452635;0.7820265691140973;0.0014784249388673227;0.0002358537843512359;0.04023170040441657;0.0057344840533719394
1;0.3003865083058675;0.003169377644856771;0.3596069314413208;0.7676334533370893;10;15;{'max_depth': 10, 'n_estimators': 15};11;0.3949910521655478;0.764825353048231;0.3775841838165309;0.7697443039771878;0.3062074974480893;0.7683307029858493;0.0020324449146797018;0.00023579756846894847;0.03840892351402252;0.0020677906671764954
4;0.495022455851237;0.004836718241373698;0.3589119155042096;0.7785051813374304;10;25;{'max_depth': 10, 'n_estimators': 25};12;0.39683610869622876;0.7686962933837878;0.3738115277393842;0.7830768696083102;0.30605043261237463;0.7837423810201931;0.0009406125392204163;0.00022959451958965275;0.03852983988770148;0.006941250536955283
8;0.41446932156880695;0.004669348398844401;0.35808098380621173;0.8726938981293211;15;15;{'max_depth': 15, 'n_estimators': 15};13;0.37930445309182276;0.8752506081883601;0.3657940593538137;0.86555690990869;0.3291237994973687;0.877274176290913;0.0033209630546423142;0.00023658719282842227;0.02119880775744291;0.0051137825278024535
10;0.5482227802276611;0.00550691286722819;0.35757951869584204;0.876762172340507;15;20;{'max_depth': 15, 'n_estimators': 20};14;0.3933767721660855;0.8752460463704925;0.36406070617447295;0.8780975717083376;0.3152709219402994;0.8769428989426911;0.0008501500394371537;4.310624320450025e-06;0.032212472976262674;0.00117112361051138
17;0.6101337273915609;0.006345828374226888;0.3571937880499449;0.8990283998166401;20;20;{'max_depth': 20, 'n_estimators': 20};15;0.3918050151296285;0.8951335682100582;0.3616765956498599;0.9054359113544296;0.31807186889482586;0.8965157198854325;0.005931790108289667;0.00024097395100869693;0.030266148213857834;0.004565795943287725
18;0.76207168896993;0.007504940032958984;0.35685036001945264;0.9035365557878774;20;25;{'max_depth': 20, 'n_estimators': 25};16;0.38153506985562496;0.9027868290762995;0.37101208560633503;0.9016810115713014;0.3179762167251974;0.9061418267160312;0.002882335846505229;8.485379419351666e-07;0.02781224311867814;0.0018967139206888977
16;0.5220333735148112;0.0056752363840738935;0.35101772877461485;0.8925093609804328;20;17;{'max_depth': 20, 'n_estimators': 17};17;0.37677858316647983;0.8888554436197601;0.3732921892412008;0.8850953538756502;0.3029481519226843;0.9035772854458881;0.0006182361965749179;0.00024214786970469602;0.034008012802669435;0.00797532790133456
