;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train;MAPE_test;MAPE_train
Ridge_pca;11.890895598008328;9.425347057420716;0.32165700413823994;0.5691911064823507;316.6651820800728;171.94442434659604;0.5671481324471058;0.7544475505178281;17.7950887067211;13.112758075500212;45.415406067889165;38.4499945106645
RidgeCV_pca;11.624614728992162;9.48286925086346;0.366658607996621;0.5609790290133732;295.6574600771266;175.2220283012487;0.6055234165551494;0.7489853329761359;17.194692788099665;13.23714577623321;44.72653032109851;38.76959606286614
Lasso_pca;11.031899904998687;10.240448127503807;0.41830285087788277;0.483203716291992;271.54881050729296;206.26370728113386;0.6467633654420161;0.6951285609813425;16.478738134556693;14.361883834690136;43.004392515060545;41.85396127516707
LassoCV_pca;11.040960709340785;10.412036331929748;0.4163748167672494;0.4668534237327644;272.44885853082224;212.78943524148212;0.6452711188076291;0.683266729566693;16.50602491609722;14.587303905845046;43.1061154025777;42.60031115682278
Ridge_skb;10.653074053118567;10.741770995273367;0.4447763704540335;0.41054838873207145;259.1903989838834;235.26189803573607;0.6669155647111811;0.6407405003057567;16.099391261283248;15.33824951015389;41.29329532930125;43.313751436824546
RidgeCV_skb;11.450716623680954;11.485178638068886;0.3497792840179559;0.34287934212699367;303.53709358657585;262.2699645814106;0.5914214098406955;0.5855589996977193;17.42231596506549;16.194751142929324;45.144126575521376;47.25024360139601
Lasso_skb;13.484726439354;13.344433779961358;0.12079938237510912;0.1331081427689934;410.4298641889955;345.9938353297491;0.3475620554305506;0.3648398864830892;20.259068690070517;18.60090952963723;55.4547037535677;57.65237283348458
LassoCV_skb;10.525752293732385;10.523228287131147;0.4604839767847809;0.42964053026680893;251.85774861509873;227.64184344742546;0.6785896969338548;0.6554697020204739;15.870026736433015;15.087804460802952;40.5949652492167;42.34126656051224
Ridge_pca_log;0.348718459500333;0.30284036649913654;0.37257819514140955;0.5363505743036534;0.20334149599038598;0.15567536384093084;0.6103918373810462;0.73235959357658;0.450934026206036;0.3945571743625134;11.11423655452218;9.840655472987402
RidgeCV_pca_log;0.3466559456694971;0.3053391466490866;0.3867674520452675;0.5282874200006347;0.19874289150536545;0.15838265605409982;0.6219063048766008;0.7268338324545953;0.4458058899401907;0.3979731850942973;11.057260137868925;9.931091218344609
Lasso_pca_log;0.3969466972608434;0.4078048678829198;0.23522056899648036;0.21220332684664678;0.24785780857262574;0.26451134613535116;0.48499543193362177;0.4606553232587753;0.49785319982161985;0.5143066654588011;12.755600551378121;13.328173156311674
LassoCV_pca_log;0.3407432217774829;0.33207138728362845;0.4175787630179556;0.4512393889796701;0.18875723589362994;0.18425237484950585;0.6462033449448831;0.6717435440550732;0.43446200742254776;0.4292462869373547;10.91643238675881;10.806166061242012
Ridge_skb_log;0.3411161758495107;0.3515940129864466;0.4191515203482068;0.3899279351469799;0.18824752005990114;0.20483836580309217;0.6474191226309328;0.6244420991148658;0.43387500511080507;0.452590726598648;10.948712427518265;11.469172491879874
RidgeCV_skb_log;0.3589768965997486;0.37287324378402004;0.3632609213463621;0.3380748036918958;0.20636113664897604;0.2222486216088408;0.602711308460661;0.5814420037216917;0.45426989405966145;0.47143252073742303;11.540529061667957;12.18032625473389
Lasso_skb_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703;14.47068981959658;15.081709979984884
LassoCV_skb_log;0.33799178301008814;0.3477963683403739;0.43029927519186617;0.3983350528600169;0.18463463773848635;0.20201558411439507;0.6559720079331633;0.6311379032034258;0.4296913284422742;0.4494614378502288;10.835532398082979;11.34472809141845
